country,question,value,round,country_iso,iso_639_3,iso_scope,iso_ref_name
17,Q3OTHER,kimalila,r4,TZ,mgq,I,Malila
17,Q3OTHER,kimambwe,r4,TZ,mgr,I,Mambwe-Lungu
17,Q3OTHER,kimatengo,r4,TZ,mgv,I,Matengo
17,Q3OTHER,kimatumbi,r4,TZ,mgw,I,Matumbi
17,Q3OTHER,kimbembe,r4,TZ,,,
17,Q3OTHER,kimbulu,r4,TZ,,,
17,Q3OTHER,kimbungo,r4,TZ,,,
17,Q3OTHER,kimeru,r4,TZ,rwk,I,Rwa
17,Q3OTHER,kimwera,r4,TZ,mwe,I,Mwera (Chimwera)
17,Q3OTHER,kindali,r4,TZ,ndh,I,Ndali
17,Q3OTHER,kindamba,r4,TZ,ndj,I,Ndamba
17,Q3OTHER,kindendeule,r4,TZ,dne,I,Ndendeule
17,Q3OTHER,kindengereko,r4,TZ,ndg,I,Ndengereko
17,Q3OTHER,kingindo,r4,TZ,nnq,I,Ngindo
17,Q3OTHER,kingoni,r4,TZ,ngo,I,Ngoni
17,Q3OTHER,kinyagazwa,r4,TZ,,,
17,Q3OTHER,kinyambo,r4,TZ,now,I,Nyambo
17,Q3OTHER,kinyamwanga,r4,TZ,mwn,I,Nyamwanga
17,Q3OTHER,kinyiha,r4,TZ,nkt,I,Nyika (Tanzania)
17,Q3OTHER,kipangwa,r4,TZ,pbr,I,Pangwa
17,Q3OTHER,kipimbwe,r4,TZ,piw,I,Pimbwe
17,Q3OTHER,kipogoro,r4,TZ,,,
17,Q3OTHER,kirangi,r4,TZ,lag,I,Langi
17,Q3OTHER,kiryeri,r4,TZ,,,
17,Q3OTHER,kisafwa,r4,TZ,sbk,I,Safwa
17,Q3OTHER,kisagara,r4,TZ,sbm,I,Sagala
17,Q3OTHER,kisambaa,r4,TZ,ksb,I,Shambala
17,Q3OTHER,kisangu,r4,TZ,sbp,I,Sangu (Tanzania)
17,Q3OTHER,kishihiri,r4,TZ,,,
17,Q3OTHER,kishirazi,r4,TZ,,,
17,Q3OTHER,kishubi,r4,TZ,suj,I,Shubi
17,Q3OTHER,kisuba,r4,TZ,ssc,I,Suba-Simbiti
17,Q3OTHER,kisumbwa,r4,TZ,suw,I,Sumbwa
17,Q3OTHER,kitumbatu,r4,TZ,,,
17,Q3OTHER,kividunda,r4,TZ,vid,I,Vidunda
17,Q3OTHER,kiwanji,r4,TZ,wbi,I,Vwanji
17,Q3OTHER,kiyao,r4,TZ,yao,I,Yao
17,Q3OTHER,kizanaki,r4,TZ,zak,I,Zanaki
17,Q3OTHER,kizaramo,r4,TZ,zaj,I,Zaramo
17,Q3OTHER,kizigua,r4,TZ,ziw,I,Zigula
17,Q3OTHER,kizinza,r4,TZ,zin,I,Zinza
18,Q3OTHER,akumu,r4,UG,,,
18,Q3OTHER,aringa,r4,UG,luc,I,Aringa
18,Q3OTHER,kakwa,r4,UG,keo,I,Kakwa
18,Q3OTHER,karamajong,r4,UG,,,
18,Q3OTHER,kumam,r4,UG,kdi,I,Kumam
18,Q3OTHER,lululi,r4,UG,ruc,I,Ruuli
18,Q3OTHER,lwamba,r4,UG,rwm,I,Amba (Uganda)
18,Q3OTHER,nubian,r4,UG,,,
18,Q3OTHER,rufumbira,r4,UG,kin,I,Kinyarwanda
18,Q3OTHER,rulundi,r4,UG,,,
18,Q3OTHER,runyarwanda,r4,UG,kin,I,Kinyarwanda
18,Q3OTHER,rwandese,r4,UG,kin,I,Kinyarwanda
18,Q3OTHER,sabiny,r4,UG,kpz,I,Kupsabiny
19,Q3OTHER,bwile,r4,ZM,bwc,I,Bwile
19,Q3OTHER,chokwe,r4,ZM,cjk,I,Chokwe
19,Q3OTHER,icishila,r4,ZM,,,
19,Q3OTHER,kunda,r4,ZM,nya,I,Nyanja
19,Q3OTHER,lala,r4,ZM,leb,I,Lala-Bisa
19,Q3OTHER,lamba,r4,ZM,lam,I,Lamba
19,Q3OTHER,luchazi,r4,ZM,lch,I,Luchazi
19,Q3OTHER,lunda kazembe,r4,ZM,,,
19,Q3OTHER,lungu,r4,ZM,mgr,I,Mambwe-Lungu
19,Q3OTHER,mbunda,r4,ZM,mck,I,Mbunda
19,Q3OTHER,ndebele,r4,ZM,,,
19,Q3OTHER,ngumbo,r4,ZM,,,
19,Q3OTHER,nyika,r4,ZM,nkv,I,Nyika (Malawi and Zambia)
19,Q3OTHER,sala,r4,ZM,shq,I,Sala
19,Q3OTHER,senga,r4,ZM,tum,I,Tumbuka
19,Q3OTHER,shona,r4,ZM,sna,I,Shona
19,Q3OTHER,swaka,r4,ZM,leb,I,Lala-Bisa
19,Q3OTHER,tokaleya,r4,ZM,,,
19,Q3OTHER,ushi,r4,ZM,auh,I,Aushi
19,Q3OTHER,usmi,r4,ZM,,,
19,Q3OTHER,zezulu,r4,ZM,zul,I,Zulu
20,Q3OTHER,budya,r4,ZW,,,
20,Q3OTHER,changani,r4,ZW,,,
20,Q3OTHER,chewa,r4,ZW,,,
20,Q3OTHER,chikaranga,r4,ZW,sna,I,Shona
20,Q3OTHER,dombe,r4,ZW,dov,I,Dombe
20,Q3OTHER,karanga,r4,ZW,sna,I,Shona
20,Q3OTHER,korekore,r4,ZW,sna,I,Shona
20,Q3OTHER,malawian,r4,ZW,,,
20,Q3OTHER,manica (mozambican),r4,ZW,,,
20,Q3OTHER,manyika,r4,ZW,mxc,I,Manyika
20,Q3OTHER,maungwe,r4,ZW,,,
20,Q3OTHER,mozambican,r4,ZW,,,
20,Q3OTHER,nambia,r4,ZW,,,
20,Q3OTHER,nambya,r4,ZW,nmq,I,Nambya
20,Q3OTHER,ndau,r4,ZW,ndc,I,Ndau
20,Q3OTHER,nyaho (chawa),r4,ZW,,,
20,Q3OTHER,nyanja,r4,ZW,nya,I,Nyanja
20,Q3OTHER,shangani,r4,ZW,tso,I,Tsonga
20,Q3OTHER,taura (mozambican),r4,ZW,,,
20,Q3OTHER,yao,r4,ZW,,,
20,Q3OTHER,zezuru,r4,ZW,sna,I,Shona
1,Q103OTHER,boo,r5,BJ,,,
1,Q103OTHER,ditamari,r5,BJ,tbz,I,Ditammari
1,Q103OTHER,peulh,r5,BJ,fuh,I,Western Niger Fulfulde
1,Q103OTHER,peulh,r5,BJ,ful,M,Fulah
6,Q103OTHER,eng and swahili,r5,KE,mul,S,Multiple languages
6,Q103OTHER,kisii,r5,KE,guz,I,Gusii
6,Q103OTHER,kuria,r5,KE,kuj,I,Kuria
6,Q103OTHER,masai,r5,KE,mas,I,Masai
6,Q103OTHER,pokot,r5,KE,pko,I,Pökoot
6,Q103OTHER,pokot,r5,KE,kln,M,Kalenjin
6,Q103OTHER,somali,r5,KE,som,I,Somali
6,Q103OTHER,swahili,r5,KE,swh,I,Swahili (individual language)
6,Q103OTHER,swahili,r5,KE,swa,M,Swahili (macrolanguage)
6,Q103OTHER,turkana,r5,KE,tuv,I,Turkana
7,Q103OTHER,sethepu,r5,LS,,,
8,Q103OTHER,standard english,r5,LR,eng,I,English
12,Q103OTHER,ronga,r5,MZ,rng,I,Ronga
12,Q103OTHER,xitsua,r5,MZ,tsc,I,Tswa
15,Q103OTHER,badiaranke,r5,SN,,,
16,Q103OTHER,shangaan,r5,ZA,tso,I,Tsonga
16,Q103OTHER,siswati,r5,ZA,ssw,I,Swati
16,Q103OTHER,tsonga,r5,ZA,tso,I,Tsonga
18,Q103OTHER,lugwere,r5,UG,gwr,I,Gwere
19,Q103OTHER,senga,r5,ZM,tum,I,Tumbuka
19,Q103OTHER,tumbuka,r5,ZM,tum,I,Tumbuka
20,Q103OTHER,nambya,r5,ZW,nmq,I,Nambya
20,Q103OTHER,ndau,r5,ZW,ndc,I,Ndau
20,Q103OTHER,nyanja,r5,ZW,nya,I,Nyanja
20,Q103OTHER,shona & ndebele,r5,ZW,,,
21,Q103OTHER,bhojpuri,r5,MU,bho,I,Bhojpuri
22,Q103OTHER,limba,r5,SL,lma,I,East Limba
22,Q103OTHER,limba,r5,SL,lia,I,West-Central Limba
22,Q103OTHER,sherbro,r5,SL,bun,I,Sherbro
24,Q103OTHER,akebou,r5,TG,keu,I,Akebu
24,Q103OTHER,gangan,r5,TG,,,
24,Q103OTHER,gourma,r5,TG,gux,I,Gourmanchéma
24,Q103OTHER,haoussa,r5,TG,,,
24,Q103OTHER,kpessi,r5,TG,kef,I,Kpessi
24,Q103OTHER,mina,r5,TG,gej,I,Gen
26,Q103OTHER,baham,r5,CM,bbj,I,Ghomálá'
26,Q103OTHER,bandjoun,r5,CM,bbj,I,Ghomálá'
26,Q103OTHER,dii,r5,CM,dur,I,Dii
26,Q103OTHER,guidar,r5,CM,gid,I,Gidar
26,Q103OTHER,haoussa,r5,CM,hau,I,Hausa
26,Q103OTHER,mafa,r5,CM,maf,I,Mafa
26,Q103OTHER,mbamois,r5,CM,,,
26,Q103OTHER,mbo,r5,CM,mbo,I,Mbo (Cameroon)
26,Q103OTHER,mboum,r5,CM,mdd,I,Mbum
26,Q103OTHER,tikar,r5,CM,tik,I,Tikar
26,Q103OTHER,yambassa,r5,CM,yav,I,Yangben
28,Q103OTHER,bassano foula,r5,GN,fuf,I,Pular
28,Q103OTHER,bassano foula,r5,GN,ful,M,Fulah
28,Q103OTHER,landouma,r5,GN,,,
28,Q103OTHER,manian,r5,GN,,,
30,Q103OTHER,isizulu,r5,SZ,zul,I,Zulu
1,Q116OTHER,boo,r5,BJ,,,
3,Q116OTHER,fulse,r5,BF,kfz,I,Koromfé
5,Q116OTHER,dagaare,r5,GH,dga,I,Southern Dagaare
5,Q116OTHER,frafra,r5,GH,gur,I,Farefare
5,Q116OTHER,waale,r5,GH,wlx,I,Wali (Ghana)
12,Q116OTHER,chitewe,r5,MZ,twx,I,Tewe
12,Q116OTHER,xitswa,r5,MZ,tsc,I,Tswa
14,Q116OTHER,babur,r5,NG,bwr,I,Bura-Pabir
14,Q116OTHER,bachama,r5,NG,bcy,I,Bacama
14,Q116OTHER,bajju,r5,NG,,,
14,Q116OTHER,bassa,r5,NG,,,
14,Q116OTHER,burah,r5,NG,bwr,I,Bura-Pabir
14,Q116OTHER,izere,r5,NG,izr,I,Izere
14,Q116OTHER,jaba,r5,NG,ldb,I,Dũya
14,Q116OTHER,jarawa,r5,NG,jjr,I,Bankal
