round,variable,lang_id,lang_name,country,iso_alpha2,wals_code,wals_name,auto
1,language,148,Bekwarr,7,NG,nng,Nyanga,1
1,language,148,Bekwarr,7,NG,non,Noni,1
1,language,148,Bekwarr,7,NG,nse,Nsenga,1
1,language,148,Bekwarr,7,NG,nto,Ntomba,1
1,language,148,Bekwarr,7,NG,nyh,Nyiha,1
1,language,148,Bekwarr,7,NG,nym,Nyamwezi,1
1,language,148,Bekwarr,7,NG,oku,Oku,1
1,language,148,Bekwarr,7,NG,png,Pangwa,1
1,language,148,Bekwarr,7,NG,pog,Pogoro,1
1,language,148,Bekwarr,7,NG,pre,Pare,1
1,language,148,Bekwarr,7,NG,rga,Ronga,1
1,language,148,Bekwarr,7,NG,rim,Rimi,1
1,language,148,Bekwarr,7,NG,rnd,Rundi,1
1,language,148,Bekwarr,7,NG,rny,Runyankore,1
1,language,148,Bekwarr,7,NG,rru,Runyoro-Rutooro,1
1,language,148,Bekwarr,7,NG,sen,Sena,1
1,language,148,Bekwarr,7,NG,ses,Sesotho,1
1,language,148,Bekwarr,7,NG,sge,Songe,1
1,language,148,Bekwarr,7,NG,sgl,Sengele,1
1,language,148,Bekwarr,7,NG,sgu,Sangu,1
1,language,148,Bekwarr,7,NG,shm,Shambala,1
1,language,148,Bekwarr,7,NG,shn,Shona,1
1,language,148,Bekwarr,7,NG,skm,Sukuma,1
1,language,148,Bekwarr,7,NG,sku,Suku,1
