round,variable,country,lang_name,iso_639_3,iso_scope,iso_ref_name,iso_alpha2
4,Q3OTHER,14,shuwa arab,shu,I,Chadian Arabic,NG
4,Q3OTHER,14,shuwa arab,ara,M,Arabic,NG
4,Q3OTHER,13,sifwe,fwe,I,Fwe,NA
4,Q3OTHER,5,sisila,sil,I,Tumulung Sisaala,GH
4,Q3OTHER,5,sisila,ssl,I,Western Sisaala,GH
4,Q3OTHER,3,sissaba,mis,S,Uncoded languages,BF
4,Q3OTHER,19,swaka,leb,I,Lala-Bisa,ZM
4,Q3OTHER,12,tacuane,tke,I,Takwane,MZ
4,Q3OTHER,5,talensi,gur,I,Farefare,GH
4,Q3OTHER,3,tamacheck,mis,S,Uncoded languages,BF
4,Q3OTHER,5,tampulma,tpm,I,Tampulma,GH
4,Q3OTHER,14,tangale,tan,I,Tangale,NG
4,Q3OTHER,14,tarah,ttr,I,Tera,NG
4,Q3OTHER,20,taura (mozambican),twl,I,Tawara,ZW
4,Q3OTHER,14,tera,ttr,I,Tera,NG
4,Q3OTHER,6,teso,teo,I,Teso,KE
4,Q3OTHER,12,tewe,twx,I,Tewe,MZ
4,Q3OTHER,14,tigum,nza,I,Tigon Mbembe,NG
4,Q3OTHER,14,tigun,nza,I,Tigon Mbembe,NG
4,Q3OTHER,6,tiriki,ida,I,Idakho-Isukha-Tiriki,KE
4,Q3OTHER,6,tiriki,luy,M,Luyia,KE
4,Q3OTHER,19,tokaleya,mis,S,Uncoded languages,ZM
4,Q3OTHER,12,tonga,tso,I,Tsonga,MZ
4,Q3OTHER,13,totela,mis,S,Uncoded languages,NA
4,Q3OTHER,3,toussian,mis,S,Uncoded languages,BF
4,Q3OTHER,14,ugep,yaz,I,Lokaa,NG
4,Q3OTHER,19,ushi,auh,I,Aushi,ZM
4,Q3OTHER,19,usmi,mis,S,Uncoded languages,ZM
4,Q3OTHER,13,uumbundu,umb,I,Umbundu,NA
4,Q3OTHER,5,wa dormu,mis,S,Uncoded languages,GH
4,Q3OTHER,5,waala,wlx,I,Wali (Ghana),GH
4,Q3OTHER,14,waja,wja,I,Waja,NG
4,Q3OTHER,5,wassa,wss,I,Wasa,GH
4,Q3OTHER,10,wiza,leb,I,Lala-Bisa,MW
4,Q3OTHER,12,xiteu,twx,I,Tewe,MZ
4,Q3OTHER,12,xitsua,tsc,I,Tswa,MZ
4,Q3OTHER,14,yakur,yaz,I,Lokaa,NG
4,Q3OTHER,20,yao,yao,I,Yao,ZW
4,Q3OTHER,5,zabrama,mis,S,Uncoded languages,GH
4,Q3OTHER,11,zerma,dje,I,Zarma,ML
4,Q3OTHER,19,zezulu,zul,I,Zulu,ZM
4,Q3OTHER,20,zezuru,sna,I,Shona,ZW
4,Q3OTHER,7,zhoza,xho,I,Xhosa,LS
4,Q3OTHER,5,zugu,mis,S,Uncoded languages,GH
4,Q3OTHER,14,zuru,dri,I,C'Lela,NG
5,Q103OTHER,24,akebou,keu,I,Akebu,TG
5,Q103OTHER,15,badiaranke,mis,S,Uncoded languages,SN
5,Q103OTHER,26,baham,bbj,I,Ghomálá',CM
5,Q103OTHER,26,bandjoun,bbj,I,Ghomálá',CM
5,Q103OTHER,28,bassano foula,fuf,I,Pular,GN
5,Q103OTHER,28,bassano foula,ful,M,Fulah,GN
5,Q103OTHER,21,bhojpuri,bho,I,Bhojpuri,MU
5,Q103OTHER,1,boo,mis,S,Uncoded languages,BJ
5,Q103OTHER,26,dii,dur,I,Dii,CM
5,Q103OTHER,1,ditamari,tbz,I,Ditammari,BJ
5,Q103OTHER,6,eng and swahili,eng,I,English,KE
