round,variable,value,name,country,iso_alpha2,n_resp,prop
1,language,220,Nyamwezi,9,TZ,52,0.02460100994003197
1,language,221,Jaluo,9,TZ,27,0.012773601315016599
1,language,222,Zaramo,9,TZ,2,9.461926900012295e-4
1,language,995,Other,1,BW,2,0.0016666666666666668
1,language,995,Other,2,GH,7,0.003545998454487449
1,language,995,Other,3,LS,1,8.496176720475786e-4
1,language,995,Other,4,MW,15,0.012417218543046357
1,language,995,Other,7,NG,36,0.009991673605328892
1,language,995,Other,9,TZ,428,0.2024852356602631
1,language,995,Other,10,UG,184,0.08332269315879338
1,language,995,Other,8,ZA,3,0.0013112371666077116
1,language,995,Other,11,ZM,230,0.19198664440734559
1,language,995,Other,12,ZW,25,0.020833333333333332
1,language,998,Refused to answer,4,MW,1,8.278145695364238e-4
1,language,999,Missing data,1,BW,9,0.0075
1,language,999,Missing data,2,GH,6,0.0030830431132150304
1,language,999,Missing data,3,LS,1,8.496176720475786e-4
1,language,999,Missing data,4,MW,1,8.278145695364238e-4
1,language,999,Missing data,6,NA,44,0.037193575655114115
1,language,999,Missing data,10,UG,19,0.008164609517335266
1,language,999,Missing data,11,ZM,11,0.009181969949916527
1,language,999,Missing data,12,ZW,10,0.008333333333333333
2,q110,-1,Missing,16,SN,5,0.004166666666666667
2,q110,1,English,2,GH,9,0.0075
2,q110,1,English,6,NA,87,0.0725604670558799
2,q110,1,English,8,ZA,469,0.20104525884803165
2,q110,2,French,5,ML,262,0.20420888542478566
2,q110,2,French,16,SN,30,0.025
2,q110,3,Portuguese,15,MZ,114,0.03702669172766449
2,q110,4,Kiswahili,14,KE,86,0.03708576988515268
2,q110,4,Kiswahili,9,TZ,1223,1
2,q110,50,Crioulo,13,CV,1268,1
2,q110,60,Luganda,10,UG,552,0.2674921461227871
2,q110,61,Lusoga,10,UG,234,0.09807517576993517
2,q110,62,Ateso,10,UG,234,0.09724716312131317
2,q110,63,Rutoro,10,UG,168,0.06981847608709664
2,q110,64,Rukiga,10,UG,250,0.10389654179627475
2,q110,65,Lumasaba,10,UG,78,0.032415721040437724
2,q110,66,Luo,10,UG,256,0.08916681176612445
2,q110,67,Lugbara,10,UG,72,0.0250781658092225
2,q110,68,Alur,10,UG,216,0.07523449742766751
2,q110,70,Runyankole,10,UG,262,0.10888357580249593
2,q110,73,Samia-Lugwe,10,UG,78,0.032691725256645064
2,q110,81,Emakhuwa,15,MZ,310,0.3451088073789798
2,q110,82,Cisena,15,MZ,38,0.020840375411925082
2,q110,83,Cindau,15,MZ,80,0.05655469871160107
2,q110,84,Cinyanja,15,MZ,40,0.028277349355800535
2,q110,85,Xichangana,15,MZ,366,0.18367435019276213
2,q110,86,Cicopi,15,MZ,40,0.02463001670337377
2,q110,87,Gitonga,15,MZ,24,0.02649891921667973
2,q110,88,Shimakonde,15,MZ,29,0.026385209328374407
2,q110,89,Echuwabu,15,MZ,46,0.09615118079100456
2,q110,90,Ajaua,15,MZ,37,0.016820265078265638
2,q110,91,Cinyungwe,15,MZ,120,0.07530623127691403
2,q110,92,Citshwa,15,MZ,75,0.019470808826790524
2,q110,93,Chitewe,15,MZ,43,0.023043335730777516
2,q110,98,Shona,15,MZ,38,0.020211760269086797
2,q110,100,Afrikaans,8,ZA,278,0.11180253660062131
2,q110,101,Ndebele,8,ZA,8,0.002860771210452529
2,q110,102,Xhosa,8,ZA,419,0.16749320833763698
2,q110,103,Pedi/Spedi/North Sotho,8,ZA,241,0.10251062163733064
2,q110,104,Sesotho/Sotho/South sotho,8,ZA,218,0.09145872869627376
2,q110,105,Setswana/Tswana,8,ZA,100,0.036414061273907644
2,q110,106,Shangaan,8,ZA,86,0.03496649196958275
2,q110,108,Venda,8,ZA,50,0.0221426098602222
2,q110,109,Zulu,8,ZA,531,0.2293057115659406
2,q110,120,Akan,2,GH,847,0.7058333333333333
2,q110,121,Dagbani,2,GH,54,0.045
2,q110,122,Ewe,2,GH,82,0.06833333333333333
2,q110,123,Ga,2,GH,91,0.07583333333333334
2,q110,124,Hausa,2,GH,1,8.333333333333334e-4
2,q110,140,Tumbuka,4,MW,299,0.24916666666666668
2,q110,142,Lambya,4,MW,133,0.11083333333333334
2,q110,143,Chewa,4,MW,620,0.5166666666666667
2,q110,144,Yao,4,MW,74,0.06166666666666667
2,q110,146,Lomwe,4,MW,74,0.06166666666666667
2,q110,164,Bambara,5,ML,828,0.6453624318004677
2,q110,165,Peuhl,5,ML,43,0.03351519875292284
2,q110,167,Sonrhai,5,ML,79,0.06157443491816056
