from,to,distance
abn,gny,3
abn,guf,3
abn,gug,3
abn,gum,3
abn,guu,3
abn,kgu,3
abn,kjn,3
abn,kly,3
abn,knc,3
abn,krj,3
abn,kuu,3
abn,kya,3
abn,kyt,3
abn,lla,3
abn,lnj,3
abn,lrd,3
abn,mdb,3
abn,mnj,3
abn,mny,3
abn,mrj,3
abn,mrt,3
abn,mrw,3
abn,mwa,3
abn,ngi,3
abn,ngj,3
abn,ngr,3
abn,ngw,3
abn,ngy,3
abn,nju,3
abn,nlr,3
abn,nlu,3
abn,nly,3
abn,ntj,3
abn,nya,3
abn,nyr,3
abn,pak,3
abn,pin,3
abn,pit,3
abn,pkn,3
abn,pny,3
abn,rit,3
abn,thp,3
abn,thy,3
abn,uhi,3
abn,ump,3
abn,vka,3
abn,wat,3
abn,wbt,3
abn,wgu,3
abn,wir,3
abn,wkw,3
abn,wlm,3
abn,wlw,3
abn,wmu,3
abn,wn,3
abn,wrg,3
abn,wrl,3
abn,wru,3
abn,yid,3
abn,yin,3
abn,yir,3
abn,ylb,3
abn,ylr,3
abn,yng,3
abn,ynk,3
abn,yny,3
abn,yuw,3
abn,alw,4
abn,ann,4
abn,bac,4
abn,bbw,4
abn,bnb,4
abn,brd,4
abn,bua,4
abn,dji,4
abn,emm,4
abn,gaa,4
abn,gnb,4
abn,gnn,4
abn,goo,4
abn,grg,4
abn,grr,4
abn,iwa,4
abn,jam,4
abn,kay,4
abn,kij,4
abn,kmw,4
abn,lar,4
abn,lml,4
abn,mau,4
abn,mdl,4
abn,mir,4
abn,mku,4
abn,mlk,4
abn,mpa,4
abn,mra,4
abn,mrh,4
abn,mrr,4
abn,myi,4
abn,ndj,4
abn,ngg,4
abn,ngk,4
abn,ngl,4
abn,ngn,4
abn,nkb,4
abn,nkk,4
abn,nug,4
abn,nyn,4
abn,nyu,4
abn,pun,4
abn,rmb,4
abn,tiw,4
abn,tye,4
abn,ung,4
abn,wag,4
abn,wam,4
abn,wor,4
abn,wrd,4
abn,wrn,4
abn,wrw,4
abn,wry,4
abn,yuk,4
abn,ywr,4
abo,bys,1
abo,dha,1
abo,brj,2
abo,dug,2
abo,orb,2
abo,orh,2
abo,orw,2
abo,owc,2
abo,qaf,2
abo,ren,2
abo,sao,2
abo,sid,2
abo,som,2
abo,agw,3
abo,awn,3
abo,bej,3
abo,bln,3
abo,brn,3
abo,dah,3
abo,gor,3
abo,irq,3
abo,kem,3
abo,aar,4
abo,abb,4
abo,abe,4
abo,abh,4
abo,aeg,4
abo,ael,4
abo,ahs,4
abo,ako,4
abo,amh,4
abo,amr,4
abo,ams,4
abo,anc,4
abo,anl,4
abo,apa,4
abo,arg,4
abo,arh,4
abo,arj,4
abo,arl,4
abo,arn,4
abo,arq,4
abo,ars,4
abo,arv,4
abo,asy,4
abo,atu,4
abo,bad,4
abo,ban,4
abo,bch,4
abo,bfg,4
abo,bid,4
abo,blq,4
abo,bma,4
abo,bmz,4
abo,bou,4
abo,bpa,4
abo,brf,4
abo,bse,4
abo,bsi,4
abo,bth,4
abo,bud,4
abo,chh,4
abo,cld,4
