round,variable,country,lang_name,iso_alpha2,n_resp,prop
5,Q116OTHER,26,bassa,CM,156,0.24722270771894786
5,Q116OTHER,26,bayangam,CM,48,0.07404828323973509
5,Q116OTHER,1,boo,BJ,78,1
5,Q116OTHER,14,burah,NG,25,0.052380938903598274
5,Q116OTHER,12,chitewe,MZ,86,0.7971447936264232
5,Q116OTHER,5,dagaare,GH,32,0.3638308722451333
5,Q116OTHER,27,dahomey,CI,50,0.20148315785066578
5,Q116OTHER,26,eton,CM,48,0.07404828323973509
5,Q116OTHER,5,frafra,GH,28,0.27233825550973345
5,Q116OTHER,3,fulse,BF,50,1
5,Q116OTHER,14,izere,NG,40,0.07596137177920607
5,Q116OTHER,14,jaba,NG,50,0.09228816493309275
5,Q116OTHER,14,jarawa,NG,20,0.03798068588960304
5,Q116OTHER,14,jukun,NG,26,0.050642793771417956
5,Q116OTHER,17,kijita,TZ,89,0.4878916490310399
5,Q116OTHER,17,kiluri,TZ,89,0.5121083509689602
5,Q116OTHER,14,koro,NG,50,0.09228816493309275
5,Q116OTHER,26,kotoko,CM,48,0.07404828323973509
5,Q116OTHER,26,mafa,CM,54,0.08406105895128632
5,Q116OTHER,26,mbo,CM,96,0.15446253051815398
5,Q116OTHER,14,ngas,NG,38,0.07265785524074511
5,Q116OTHER,26,ntoumou,CM,46,0.07238123594561051
5,Q116OTHER,26,nyem nyem,CM,48,0.07404828323973509
5,Q116OTHER,19,nyika,ZM,32,1
5,Q116OTHER,14,ron,NG,20,0.03798068588960304
5,Q116OTHER,18,rufumbiira,UG,36,1
5,Q116OTHER,14,sayawa,NG,26,0.050642793771417956
5,Q116OTHER,33,tamazight,MA,31,1
5,Q116OTHER,27,toura,CI,50,0.19161845319862786
5,Q116OTHER,5,waale,GH,32,0.3638308722451333
5,Q116OTHER,27,wobe,CI,50,0.21219653181905376
