round,lang_name,variable,iso_alpha2,country,glottocode,glottolog_name,level
4,tigum,Q3OTHER,NG,14,tigo1236,Tigon Mbembe,language
4,tigun,Q3OTHER,NG,14,tigo1236,Tigon Mbembe,language
4,tiriki,Q3OTHER,KE,6,idak1243,Idakho-Isukha-Tiriki,language
4,tokaleya,Q3OTHER,ZM,19,,,
4,tonga,Q3OTHER,MZ,12,tson1249,Tsonga,language
4,totela,Q3OTHER,NA,13,,,
4,toussian,Q3OTHER,BF,3,,,
4,ugep,Q3OTHER,NG,14,loka1252,Lokaa,language
4,ushi,Q3OTHER,ZM,19,aush1241,Aushi,language
4,usmi,Q3OTHER,ZM,19,,,
4,uumbundu,Q3OTHER,NA,13,umbu1257,Umbundu,language
4,wa dormu,Q3OTHER,GH,5,,,
4,waala,Q3OTHER,GH,5,wali1263,Wali (Ghana),language
4,waja,Q3OTHER,NG,14,waja1259,Waja,language
4,wassa,Q3OTHER,GH,5,wasa1244,Wasa,language
4,wiza,Q3OTHER,MW,10,lala1264,Lala-Bisa,language
4,xiteu,Q3OTHER,MZ,12,tewe1238,Tewe,language
4,xitsua,Q3OTHER,MZ,12,tswa1255,Tswa,language
4,yakur,Q3OTHER,NG,14,loka1252,Lokaa,language
4,yao,Q3OTHER,ZW,20,yaoo1241,Yao,language
4,zabrama,Q3OTHER,GH,5,,,
4,zerma,Q3OTHER,ML,11,zarm1239,Zarma-Kaado,language
4,zezulu,Q3OTHER,ZM,19,zulu1248,Zulu,language
4,zezuru,Q3OTHER,ZW,20,shon1251,Shona,language
4,zhoza,Q3OTHER,LS,7,xhos1239,Xhosa,language
4,zugu,Q3OTHER,GH,5,,,
4,zuru,Q3OTHER,NG,14,clel1238,C'lela,language
5,akebou,Q103OTHER,TG,24,akeb1238,Akebu,language
5,badiaranke,Q103OTHER,SN,15,,,
5,baham,Q103OTHER,CM,26,ghom1247,Ghomálá',language
5,bandjoun,Q103OTHER,CM,26,ghom1247,Ghomálá',language
5,bassano foula,Q103OTHER,GN,28,pula1262,Pular,language
5,bhojpuri,Q103OTHER,MU,21,bhoj1244,Bhojpuri,language
5,boo,Q103OTHER,BJ,1,,,
5,dii,Q103OTHER,CM,26,diii1241,Dii,language
5,ditamari,Q103OTHER,BJ,1,dita1238,Ditammari,language
5,eng and swahili,Q103OTHER,KE,6,stan1293,English,language
5,gangan,Q103OTHER,TG,24,,,
5,gourma,Q103OTHER,TG,24,gour1243,Gourmanchéma,language
5,guidar,Q103OTHER,CM,26,gida1247,Gidar,language
5,haoussa,Q103OTHER,TG,24,haus1257,Hausa,language
5,haoussa,Q103OTHER,CM,26,haus1257,Hausa,language
5,isizulu,Q103OTHER,SZ,30,zulu1248,Zulu,language
5,kisii,Q103OTHER,KE,6,gusi1247,Gusii,language
5,kpessi,Q103OTHER,TG,24,kpes1238,Kpessi,language
5,kuria,Q103OTHER,KE,6,kuri1259,Kuria,language
